Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
MS-338;Leste;Meio-Fio;289+338;290+230;;-21,34708602;-52,80979268;-21,35253669;-52,80346289
MS-338;Oeste;Meio-Fio;290+197;289+306;891;-21,3522685;-52,80343164;-21,34708378;-52,80974386
MS-338;Leste;Meio-Fio;291+300;291+672;372;-21,35905186;-52,79583447;-21,36131004;-53,79318966
MS-338;Oeste;Meio-Fio;291+639;291+258;381;-21,36131257;-52,79315162;-21,35898695;-52,79587256
MS-338;Leste;Meio-Fio;294+534;295+009;475;-21,37894728;-52,77296814;-21,38185974;-52,76959254
MS-338;Oeste;Meio-Fio;296+239;294+505;1734;-21,38950565;-52,76055690;-21,37895179;-52,77291686
MS-338;Leste;Meio-Fio;296+531;297+430;899;-21,39111490;-52,75873254;-21,39664291;-52,75239172
MS-338;;DP - CONCRETO;296+935;296+935;;21225163S;;52461409W;
MS-338;Oeste;Meio-Fio;297+580;296+505;1075;-21,39760505;-52,75094191;-21,39114588;-52,75866508
MS-338;;DP - CONCRETO;297+595;297+595;;2123637S;;52455716W;
MS-338;Oeste;Meio-Fio;298+995;298+525;470;-21,40419165;-52,73925028;-21,40202093;-52,74314539
MS-338;Leste;Meio-Fio;305+388;306+494;1106;-21,43352902;-52,68650929;-21,43862111;-52,67731605
MS-338;Oeste;Meio-Fio;305+628;305+355;273;-21,43476887;-52,68422597;-21,43351019;-52,68649395
MS-338;;DP - CONCRETO;318+790;318+790;;21291887S;;52353958W;
MS-338;Leste;Meio-Fio;320+190;322+028;1838;-21,50582757;-52,56632847;-21,51812087;-52,55464875
MS-338;Oeste;Meio-Fio;320+429;320+177;252;-21,50705506;-52,56411487;-21,50586591;-52,56620403
MS-338;Oeste;Meio-Fio;322+009;320+755;1254;-21,51812582;-52,55461829;-21,50909320;-52,56192044
MS-338;Oeste;Meio-Fio;327+586;327+317;269;-21,55884603;-52,52376486;-21,55716634;-52,52565495
MS-338;Oeste;Meio-Fio;339+975;339+757;218;-21,63605505;-52,43726652;-21,63499972;-52,43902903
MS-395;Sul;Meio-Fio;64+577;64+835;258;-21,72051619;-52,42925547;-21,72002243;-52,42682568
MS-395;Sul;Meio-Fio;65+442;65+603;161;-21,71982040;-52,42914171;-21,71870469;-52,42815281
MS-395;Norte;Grelha;66+672;;;-21,71130802;-52,42162404;;
MS-395;Sul;Meio-Fio;66+802;67+219;417;-21,71048237;-52,42234384;-21,70832806;-52,41934333
MS-395;Norte;Meio-Fio;67+080;66+688;392;-21,70840862;-52,41921602;-21,71119398;-52,42152640
